sentence,start,end,duration
" When I'm starting talks like this,  I usually do a whole spiel about sustainability because a lot of people out there don't know what that is. ",24.858,31.857999999999997,6.9999999999999964
" This is a crowd that does know what it is, so I'll like just do like the 60-second crib-note version. Right? ",31.857999999999997,37.858,6.0
"So just bear with me. We'll go real fast, you know? ",37.858,39.858,2.0
Fill in the blanks. ,39.858,40.858,1.0
"So, you know, sustainability, small planet. ",40.858,43.858,3.0
"Right? Picture a little Earth, circling around the sun. ",43.858,45.858,2.0
" You know, about a million years ago,  a bunch of monkeys fell out of trees,  got a little clever, harnessed fire,  invented the printing press, made, you know, luggage with wheels on it. ",45.858,53.858,8.0
"And, you know, built the society that we now live in. ",53.858,57.858,4.0
" Unfortunately, while this society is, without a doubt,  the most prosperous and dynamic the world has ever created, it's got some major, major flaws. ",57.858,67.858,10.000000000000007
One of them is that every society has an ecological footprint. ,67.858,71.858,4.0
It has an amount of impact on the planet that's measurable. ,71.858,75.858,4.0
" How much stuff goes through your life, how much waste is left behind you. ",75.858,81.858,6.0
" And we, at the moment, in our society, have a really dramatically unsustainable level of this. ",81.858,88.858,7.0
We're using up about five planets. ,88.858,90.858,2.0
" If everybody on the planet lived the way we did,  we'd need between five, six, seven, some people even say 10 planets to make it. ",90.858,98.858,8.0
Clearly we don't have 10 planets. ,98.858,100.858,2.0
" Again, you know, mental, visual, 10 planets, one planet, 10 planets, one planet. Right? ",100.858,104.858,4.0
We don't have that. So that's one problem. ,104.858,107.858,3.0
 The second problem is that the planet that we have is being used in wildly unfair ways. Right? ,107.858,113.858,6.0
" North Americans, such as myself, you know,  we're basically sort of wallowing, gluttonous hogs, and we're eating all sorts of stuff. ",113.858,120.858,7.0
" And, you know, then you get all the way down to people who live in the Asia-Pacific region, or even more, Africa. ",120.858,126.858,6.0
And people simply do not have enough to survive. ,126.858,128.858,2.0
" This is producing all sorts of tensions, all sorts of dynamics that are deeply disturbing. ",128.858,133.858,5.0
And there's more and more people on the way. Right? ,133.858,137.858,4.0
"So, this is what the planet's going to look like in 20 years. ",137.858,141.858,4.0
"It's going to be a pretty crowded place, at least eight billion people. ",141.858,144.858,3.0
"So to make matters even more difficult, it's a very young planet. ",144.858,148.858,4.0
A third of the people on this planet are kids. ,148.858,151.858,3.0
" And those kids are growing up in a completely different way than their parents did, no matter where they live. ",151.858,156.858,5.0
"They've been exposed to this idea of our society, of our prosperity. ",156.858,161.858,5.0
And they may not want to live exactly like us. ,161.858,164.858,3.0
" They may not want to be Americans, or Brits,  or Germans, or South Africans,  but they want their own version  of a life which is more prosperous, and more dynamic, and more, you know, enjoyable. ",164.858,174.858,10.0
 And all of these things combine to create an enormous amount of torque on the planet. ,174.858,180.858,6.0
" And if we cannot figure out a way to deal with that torque,  we are going to find ourselves more and more and more quickly facing situations which are simply unthinkable. ",180.858,191.858,11.0
Everybody in this room has heard the worst-case scenarios. ,191.858,193.858,2.0
I don't need to go into that. ,193.858,195.858,2.0
" But I will ask the question, what's the alternative? And I would say that, at the moment, the alternative is unimaginable. ",195.858,202.858,7.0
" You know, so on the one hand we have the unthinkable; on the other hand we have the unimaginable. ",202.858,207.858,5.0
" We don't know yet how to build a society  which is environmentally sustainable,  which is shareable with everybody on the planet,  which promotes stability and democracy and human rights,  and which is achievable in the time-frame necessary to make it through the challenges we face. ",207.858,225.858,18.0
We don't know how to do this yet. ,225.858,227.858,2.0
" So what's Worldchanging?  Well, Worldchanging you might think of as being a bit of a news service for the unimaginable future. ",227.858,236.858,9.0
" You know, what we're out there doing is looking  for examples of tools, models and ideas, which, if widely adopted, would change the game. ",236.858,245.858,9.0
" A lot of times, when I do a talk like this, I talk about things  that everybody in this room I'm sure has already heard of, but most people haven't. ",245.858,253.858,8.0
" So I thought today I'd do something a little different,  and talk about what we're looking for, rather than saying, you know, rather than giving you tried-and-true examples. ",253.858,261.858,8.0
Talk about the kinds of things we're scoping out. ,261.858,263.858,2.0
Give you a little peek into our editorial notebook. ,263.858,265.858,2.0
"And given that I have 13 minutes to do this, this is going to go kind of quick. ",265.858,268.858,3.0
"So, I don't know, just stick with me. Right? ",268.858,270.85799999999995,1.9999999999999432
"So, first of all, what are we looking for? Bright Green city. ",270.85799999999995,273.85799999999995,3.0
 One of the biggest levers that we have in the developed world  for changing the impact that we have on the planet is changing the way that we live in cities. ,273.85799999999995,280.85799999999995,7.0
 We're already an urban planet; that's especially true in the developed world. ,280.85799999999995,284.85799999999995,4.0
" And people who live in cities in the developed world tend to be very prosperous, and thus use a lot of stuff. ",284.85799999999995,288.85799999999995,4.0
" If we can change the dynamic, by first of all creating cities that are denser and more livable ... ",288.85799999999995,293.85799999999995,5.0
" Here, for example, is Vancouver, which if you haven't been there, you ought to go for a visit. It's a fabulous city. ",293.85799999999995,297.85799999999995,4.0
" And they are doing density, new density, better than probably anybody else on the planet right now. ",297.85799999999995,301.85799999999995,4.0
" They're actually managing to talk North Americans out of driving cars, which is a pretty great thing. ",301.85799999999995,306.85799999999995,5.0
So you have density. You also have growth management. ,306.85799999999995,308.85799999999995,2.0
You leave aside what is natural to be natural. ,308.85799999999995,311.85799999999995,3.0
This is in Portland. That is an actual development. ,311.85799999999995,314.858,3.000000000000057
That land there will remain pasture in perpetuity. ,314.858,316.858,2.0
They've bounded the city with a line. ,316.858,318.858,2.0
"Nature, city. Nothing changes. ",318.858,320.858,2.0
"Once you do those things, you can start making all sorts of investments. ",321.858,324.858,3.0
" You can start doing things like, you know,  transit systems that actually work to transport people, in effective and reasonably comfortable manners. ",324.858,332.85799999999995,7.999999999999943
You can also start to change what you build. ,332.85799999999995,334.85799999999995,2.0
" This is the Beddington Zero Energy Development in London, which is one of the greenest buildings in the world. It's a fabulous place. ",334.85799999999995,340.85799999999995,6.0
" We're able to now build buildings that generate all their own electricity,  that recycle much of their water,  that are much more comfortable than standard buildings, use all-natural light, etc., and, over time, cost less. ",340.85799999999995,352.85799999999995,12.0
"Green roofs. Bill McDonough covered that last night, so I won't dwell on that too much. ",352.85799999999995,356.85799999999995,4.0
" But once you also have people living  in close proximity to each other,  one of the things you can do is --  as information technologies develop -- you can start to have smart places. ",356.85799999999995,366.85799999999995,10.0
You can start to know where things are. ,366.85799999999995,368.85799999999995,2.0
"When you know where things are, it becomes easier to share them. ",368.85799999999995,370.85799999999995,2.0
"When you share them, you end up using less. ",370.85799999999995,373.858,3.000000000000057
" So one great example is car-share clubs, which are really starting to take off in the U.S., ",373.858,377.858,4.0
"have already taken off in many places in Europe, and are a great example. ",377.858,380.858,3.0
" If you're somebody who drives, you know, one day a week,  do you really need your own car?  Another thing that information technology lets us do  is start figuring out how to use less stuff by knowing, and by monitoring, the amount we're actually using. ",380.858,394.85799999999995,13.999999999999943
" So, here's a power cord which glows brighter the more energy that you use,  which I think is a pretty cool concept,  although I think it ought to work the other way around, that it gets brighter the more you don't use. ",394.85799999999995,404.85799999999995,10.0
"But, you know, there may even be a simpler approach. ",404.85799999999995,406.85799999999995,2.0
We could just re-label things. ,406.85799999999995,408.85799999999995,2.0
" This light switch that reads, on the one hand, flashfloods, and on the other hand, off. ",408.85799999999995,412.85799999999995,4.0
How we build things can change as well. ,412.85799999999995,414.85799999999995,2.0
This is a bio-morphic building. ,414.85799999999995,416.85799999999995,2.0
It takes its inspiration in form from life. ,416.85799999999995,420.85799999999995,4.0
" Many of these buildings are incredibly beautiful, and also much more effective. ",420.85799999999995,424.85799999999995,4.0
" This is an example of bio-mimicry, which is something we're really starting to look a lot more for. ",425.85799999999995,429.85799999999995,4.0
" In this case, you have a shell design which was used to create a new kind of exhaust fan, which is greatly more effective. ",429.85799999999995,435.858,6.000000000000057
There's a lot of this stuff happening; it's really pretty remarkable. ,435.858,438.858,3.0
I encourage you to look on Worldchanging if you're into it. ,439.858,441.858,2.0
