sentence,start,end,duration
" I want to start with a story, a la Seth Godin, from when I was 12 years old. ",24.858,29.857999999999997,4.9999999999999964
 My uncle Ed gave me a beautiful blue sweater -- at least I thought it was beautiful. ,29.857999999999997,34.858,5.0
" And it had fuzzy zebras walking across the stomach,  and Mount Kilimanjaro and Mount Meru were kind of right across the chest, that were also fuzzy. ",34.858,42.858,8.0
" And I wore it whenever I could, thinking it was the most fabulous thing I owned. ",42.858,46.858,4.0
" Until one day in ninth grade, when I was standing with a number of the football players. ",46.858,51.858,5.0
" And my body had clearly changed, and Matt,  who was undeniably my nemesis in high school,  said in a booming voice that  we no longer had to go far away to go on ski trips, but we could all ski on Mount Novogratz. ",51.858,66.858,15.000000000000007
 (Laughter)  And I was so humiliated and mortified  that I immediately ran home to my mother and chastised her for ever letting me wear the hideous sweater. ,66.858,75.858,9.0
" We drove to the Goodwill and we threw the sweater away  somewhat ceremoniously,  my idea being that I would never have to think about the sweater nor see it ever again. ",75.858,84.858,9.0
"Fast forward -- 11 years later, I'm a 25-year-old kid. ",84.858,88.858,4.0
" I'm working in Kigali, Rwanda, jogging through the steep slopes,  when I see, 10 feet in front of me, a little boy -- 11 years old -- running toward me, wearing my sweater. ",88.858,102.858,14.0
"And I'm thinking, no, this is not possible. ",102.858,104.858,2.0
" But so, curious, I run up to the child -- of course  scaring the living bejesus out of him --  grab him by the collar, turn it over, and there is my name written on the collar of this sweater. ",104.858,115.858,11.0
" I tell that story, because it has served and continues to serve  as a metaphor to me about the level of connectedness that we all have on this Earth. ",115.858,126.858,11.0
 We so often don't realize what our action and our inaction does to people we think we will never see and never know. ,126.858,133.858,7.0
 I also tell it because it tells a larger contextual story of what aid is and can be. ,134.858,139.858,5.0
" That this traveled into the Goodwill in Virginia,  and moved its way into the larger industry, which at that point was giving millions of tons of secondhand clothing to Africa and Asia. ",139.858,150.858,11.0
"Which was a very good thing, providing low cost clothing. ",150.858,154.858,4.0
" And at the same time, certainly in Rwanda, it destroyed the local retailing industry. ",154.858,158.858,4.0
" Not to say that it shouldn't have,  but that we have to get better at answering the questions  that need to be considered when we think about consequences and responses. ",158.858,168.858,10.0
" So, I'm going to stick in Rwanda, circa 1985, 1986, where I was doing two things. ",168.858,174.858,6.0
I had started a bakery with 20 unwed mothers. ,174.858,177.858,3.0
