sentence,start,end,duration
Thank you. It's really an honor and a privilege to be here ,26.858,30.857999999999997,3.9999999999999964
spending my last day as a teenager. ,30.857999999999997,32.858,2.0
" Today I want to talk to you about the future, but first I'm going to tell you a bit about the past. ",32.858,39.858,7.0
My story starts way before I was born. ,39.858,43.858,4.0
"My grandmother was on a train to Auschwitz, the death camp. ",43.858,47.858,4.0
"And she was going along the tracks, and the tracks split. ",47.858,52.858,5.0
 And somehow -- we don't really know exactly the whole story -- but the train took the wrong track and went to a work camp rather than the death camp. ,52.858,62.858,10.0
My grandmother survived and married my grandfather. ,62.858,67.858,5.000000000000007
"They were living in Hungary, and my mother was born. ",67.858,70.858,3.0
" And when my mother was two years old, the Hungarian revolution was raging, and they decided to escape Hungary. ",70.858,77.858,7.0
" They got on a boat, and yet another divergence -- the boat was either going to Canada or to Australia. ",77.858,84.858,7.0
"They got on and didn't know where they were going, and ended up in Canada. ",84.858,88.858,4.0
"So, to make a long story short, they came to Canada. ",88.858,91.858,3.0
"My grandmother was a chemist. She worked at the Banting Institute in Toronto, ",91.858,95.858,4.0
"and at 44 she died of stomach cancer. I never met my grandmother, ",95.858,103.858,8.0
" but I carry on her name -- her exact name, Eva Vertes -- and I like to think I carry on her scientific passion, too. ",103.858,111.858,8.0
"I found this passion not far from here, actually, when I was nine years old. ",111.858,117.858,6.0
My family was on a road trip and we were in the Grand Canyon. ,117.858,122.858,5.0
 And I had never been a reader when I was young --  my dad had tried me with the Hardy Boys; I tried Nancy Drew; I tried all that -- and I just didn't like reading books. ,122.858,132.858,10.0
" And my mother bought this book when we were at the Grand Canyon called ""The Hot Zone."" It was all about the outbreak of the Ebola virus. ",132.858,139.858,7.0
And something about it just kind of drew me towards it. ,139.858,142.858,3.0
" There was this big sort of bumpy-looking virus on the cover, and I just wanted to read it. I picked up that book, ",142.858,149.858,7.0
" and as we drove from the edge of the Grand Canyon  to Big Sur, and to, actually, here where we are today, in Monterey,  I read that book, and from when I was reading that book, I knew that I wanted to have a life in medicine. ",149.858,163.858,14.0
" I wanted to be like the explorers I'd read about in the book,  who went into the jungles of Africa,  went into the research labs and just tried to figure out what this deadly virus was. So from that moment on, I read every medical book ",163.858,176.858,13.0
"I could get my hands on, and I just loved it so much. ",176.858,180.858,4.0
I was a passive observer of the medical world. ,180.858,184.858,4.0
" It wasn't until I entered high school that I thought,  ""Maybe now, you know -- being a big high school kid -- I can maybe become an active part of this big medical world."" ",184.858,196.858,12.0
" I was 14, and I emailed professors at the local university to see if maybe I could go work in their lab. And hardly anyone responded. ",196.858,206.858,10.0
" But I mean, why would they respond to a 14-year-old, anyway? And I got to go talk to one professor, Dr. Jacobs, ",206.858,214.858,8.0
who accepted me into the lab. ,214.858,217.858,3.0
" At that time, I was really interested in neuroscience  and wanted to do a research project in neurology -- specifically looking at the effects of heavy metals on the developing nervous system. ",217.858,228.858,11.0
