sentence,start,end,duration
"If you'd like to learn how to play the lobster, we have some here. ",24.858,27.858,3.0
"And that's not a joke, we really do. ",27.858,29.857999999999997,1.9999999999999964
So come up afterwards and I'll show you how to play a lobster. ,29.857999999999997,32.858,3.0
" So, actually, I started working on what's called the mantis shrimp a few years ago because they make sound. ",32.858,39.858,7.0
 This is a recording I made of a mantis shrimp that's found off the coast of California. ,39.858,43.858,4.0
" And while that's an absolutely fascinating sound, it actually turns out to be a very difficult project. ",54.858,60.858,6.0
" And while I was struggling to figure out how and why mantis shrimp, or stomatopods, make sound, I started to think about their appendages. ",60.858,69.858,9.000000000000007
" And mantis shrimp are called ""mantis shrimp"" after the praying mantises, which also have a fast feeding appendage. And I started to think, ",69.858,76.858,7.0
" well, maybe it will be interesting, while listening to their sounds, to figure out how these animals generate very fast feeding strikes. ",76.858,82.858,6.0
" And so today I'll talk about the extreme stomatopod strike, work that I've done in collaboration with Wyatt Korff and Roy Caldwell. ",82.858,89.858,7.0
" So, mantis shrimp come in two varieties: there are spearers and smashers. ",89.858,94.858,5.0
"And this is a spearing mantis shrimp, or stomatopod. ",94.858,97.858,3.0
"And he lives in the sand, and he catches things that go by overhead. ",97.858,102.858,5.0
"So, a quick strike like that. And if we slow it down a bit, ",102.858,107.858,5.0
" this is the mantis shrimp -- the same species --  recorded at 1,000 frames a second, played back at 15 frames per second. ",107.858,113.858,6.0
" And you can see it's just a really spectacular extension of the limbs,  exploding upward to actually just catch a dead piece of shrimp that I had offered it. ",113.858,124.858,11.0
" Now, the other type of mantis shrimp is the smasher stomatopod, and these guys open up snails for a living. ",124.858,132.858,8.0
And so this guy gets the snail all set up and gives it a good whack. ,132.858,137.858,5.0
" (Laughter) So, I'll play it one more time. ",137.858,140.858,3.0
"He wiggles it in place, tugs it with his nose, and smash. ",140.858,144.858,4.0
"And a few smashes later, the snail is broken open, and he's got a good dinner. ",144.858,151.858,7.0
" So, the smasher raptorial appendage can stab with a point at the end, or it can smash with the heel. ",151.858,157.858,6.0
And today I'll talk about the smashing type of strike. ,157.858,160.858,3.0
" And so the first question that came to mind was,  well, how fast does this limb move? Because it's moving pretty darn fast on that video. ",160.858,168.858,8.0
And I immediately came upon a problem. ,168.858,171.858,3.0
 Every single high-speed video system in the biology department at Berkeley wasn't fast enough to catch this movement. ,171.858,178.858,7.0
We simply couldn't capture it on video. ,178.858,180.858,2.0
And so this had me stymied for quite a long period of time. ,180.858,183.858,3.0
" And then a BBC crew came cruising through the biology department, looking for a story to do about new technologies in biology. ",183.858,191.858,8.0
And so we struck up a deal. ,191.858,193.858,2.0
" I said, ""Well, if you guys rent the high-speed video system  that could capture these movements, you guys can film us collecting the data."" ",193.858,200.858,7.0
"And believe it or not, they went for it. (Laughter) ",200.858,202.858,2.0
So we got this incredible video system. It's very new technology -- ,202.858,206.858,4.0
 it just came out about a year ago -- that allows you to film at extremely high speeds in low light. ,206.858,213.858,7.0
" And low light is a critical issue with filming animals, because if it's too high, you fry them. (Laughter) ",213.858,218.858,5.0
"So this is a mantis shrimp. There are the eyes up here, ",218.858,223.858,5.0
"and there's that raptorial appendage, and there's the heel. ",223.858,226.858,3.0
And that thing's going to swing around and smash the snail. ,226.858,229.858,3.0
