sentence,start,end,duration
 I thought in getting up to my TED wish  I would try to begin by putting in  perspective what I try to doand how it fits with what they try to do. ,24.858,41.858,16.999999999999996
" We live in a world that everyone knows is interdependent, but insufficient in three major ways. ",41.858,52.858,11.0
" It is, first of all, profoundly unequal:  half the world's people still living on less than two dollars a day;  a billion people with no access to clean water;  two and a half billion no access to sanitation;  a billion going to bed hungry every night;  one in four deaths every year from AIDS, TB, malaria  and the variety of infections associated with dirty water -- 80 percent of them under five years of age. ",52.858,78.858,26.000000000000007
Even in wealthy countries it is common now to see inequality growing. ,78.858,84.858,6.0
" In the United States, since 2001 we've had five years of economic growth,  five years of productivity growth in the workplace,  but median wages are stagnant and the percentage of working families dropping below the poverty line is up by four percent. ",84.858,100.858,16.0
The percentage of working families without health care up by four percent. ,100.858,104.858,4.0
" So this interdependent world which has been pretty good to most of us --  which is why we're all here in Northern California doing what we do for a living, enjoying this evening -- is profoundly unequal. ",104.858,117.858,13.0
It is also unstable. ,117.858,120.858,3.0
" Unstable because of the threats of terror,  weapons of mass destruction, the spread of global disease and a sense that we are vulnerable to it in a way that we weren't not so many years ago. ",120.858,134.858,14.0
" And perhaps most important of all, it is unsustainable because of climate change, resource depletion and species destruction. ",134.858,144.858,10.0
" When I think about the world I would like to leave to my daughter  and the grandchildren I hope to have,  it is a world that moves away from unequal, unstable, unsustainable  interdependence to integrated communities -- locally, nationally and globally --  that share the characteristics of all successful communities:  a broadly shared, accessible set of opportunities,  a shared sense of responsibility for the success of the common enterprise and a genuine sense of belonging. ",146.858,182.858,36.0
All easier said than done. ,183.858,186.858,3.0
" When the terrorist incidents occurred in the United Kingdom a couple of years ago,  I think even though they didn't claim as many lives as we lost in the United States on 9/11,  I think the thing that troubled the British most  was that the perpetrators were not invaders, but homegrown citizens  whose religious and political identities were more important to them  than the people they grew up with, went to school with, worked with, shared weekends with, shared meals with. ",186.858,215.858,29.0
" In other words, they thought their differences were more important than their common humanity. ",215.858,222.858,7.0
It is the central psychological plague of humankind in the 21st century. ,222.858,229.858,7.0
" Into this mix, people like us, who are not in public office,  have more power to do good than at any time in history,  because more than half the world's people live under governments they voted in and can vote out. ",229.858,244.858,15.0
And even non-democratic governments are more sensitive to public opinion. ,244.858,248.858,4.0
" Because primarily of the power of the Internet,  people of modest means can band together and amass vast sums of money that can change the world for some public good if they all agree. ",248.858,263.858,15.0
"When the tsunami hit South Asia, the United States contributed 1.2 billion dollars. ",263.858,268.858,5.0
30 percent of our households gave. ,268.858,270.85799999999995,1.9999999999999432
Half of them gave over the Internet. ,270.85799999999995,272.85799999999995,2.0
The median contribution was somewhere around 57 dollars. ,272.85799999999995,277.85799999999995,5.0
"And thirdly, because of the rise of non-governmental organizations. ",278.85799999999995,283.85799999999995,5.0
" They, businesses, other citizens' groups, have enormous power to affect the lives of our fellow human beings. ",283.85799999999995,293.85799999999995,10.0
" When I became president in 1993, there were none of these organizations in Russia. ",294.85799999999995,298.85799999999995,4.0
There are now a couple of hundred thousand. ,298.85799999999995,300.85799999999995,2.0
None in India. There are now at least a half a million active. ,300.85799999999995,304.85799999999995,4.0
"None in China. There are now 250,000 registered with the government, ",304.85799999999995,307.85799999999995,3.0
probably twice again that many who are not registered for political reasons. ,307.85799999999995,312.85799999999995,5.0
" When I organized my foundation, and I thought about the world as it is  and the world that I hope to leave to the next generation,  and I tried to be realistic about what I had cared about all my life that I could still have an impact on. ",313.858,335.85799999999995,21.999999999999943
" I wanted to focus on activities  that would help to alleviate poverty, fight disease, combat climate change,  bridge the religious, racial and other divides that torment the world,  but to do it in a way that would either use  whatever particular skills we could put together in our group  to change the way some public good function was performed so that it would sweep across the world more. ",335.85799999999995,367.85799999999995,32.0
You saw one reference to that in what we were able to do with AIDS drugs. ,367.85799999999995,373.858,6.000000000000057
" And I want to say that the head of our AIDS effort,  and the person who also is primarily active in the wish I'll make tonight, Ira Magaziner, is here with me and I want to thank him for everything he's done. ",373.858,384.858,11.0
He's over there. ,384.858,386.858,2.0
" (Applause)  When I got out of office and was asked to work, first in the Caribbean,  to try to help deal with the AIDS crisis, generic drugs were available for about 500 dollars a person a year. ",386.858,403.85799999999995,16.999999999999943
" If you bought them in vast bulks, you could get them at a little under 400 dollars. ",403.85799999999995,408.85799999999995,5.0
" The first country we went to work in, the Bahamas, was paying 3,500 dollars for these drugs. ",408.85799999999995,413.85799999999995,5.0
 The market was so terribly disorganized  that they were buying this medicine through two agents who were gigging them sevenfold. ,413.85799999999995,422.85799999999995,9.0
" So the very first week we were working, we got the price down to 500 dollars. ",423.85799999999995,428.85799999999995,5.0
" And all of a sudden, they could save seven times as many lives for the same amount of money. ",428.85799999999995,432.85799999999995,4.0
" Then we went to work with the manufacturers of AIDS medicines,  one of whom was cited in the film,  and negotiated a whole different change in business strategy,  because even at 500 dollars, these drugs were being sold on a high-margin, low-volume, uncertain-payment basis. ",432.85799999999995,450.85799999999995,18.0
" So we worked on improving the productivity of the operations  and the supply chain, and went to a low-margin, high-volume, absolutely certain-payment business. ",450.85799999999995,460.85799999999995,10.0
 I joked that the main contribution we made  to the battle against AIDS was to get the manufacturers to change from a jewelry store to a grocery store strategy. ,460.85799999999995,469.85799999999995,9.0
But the price went to 140 dollars from 500. ,470.85799999999995,474.85799999999995,4.0
"And pretty soon, the average price was 192 dollars. ",474.85799999999995,478.85799999999995,4.0
Now we can get it for about 100 dollars. ,478.85799999999995,480.85799999999995,2.0
" Children's medicine was 600 dollars, because nobody could afford to buy any of it. ",480.85799999999995,484.85799999999995,4.0
We negotiated it down to 190. ,484.85799999999995,487.85799999999995,3.0
" Then, the French imposed their brilliantly conceived airline tax  to create a something called UNITAID, got a bunch of other countries to help. ",487.85799999999995,495.858,8.000000000000057
That children's medicine is now 60 dollars a person a year. ,495.858,498.858,3.0
" The only thing that is keeping us from basically saving the lives  of everybody who needs the medicine to stay alive  are the absence of systems necessary to diagnose, treat and care for people and deliver this medicine. ",498.858,512.858,13.999999999999943
We started a childhood obesity initiative with the Heart Association in America. ,512.858,516.858,4.0
 We tried to do the same thing by negotiating industry-right deals  with the soft drink and the snack food industry to cut the caloric and other dangerous content of food going to our children in the schools. ,516.858,528.858,12.0
We just reorganized the markets. ,528.858,531.858,3.0
" And it occurred to me that in this whole non-governmental world, somebody needs to be thinking about organizing public goods markets. ",531.858,541.858,10.0
" And that is now what we're trying to do,  and working with this large cities group to fight climate change,  to negotiate huge, big, volume deals that will enable cities  which generate 75 percent of the world's greenhouse gases,  to drastically and quickly reduce greenhouse gas emissions in a way that is good economics. ",541.858,560.858,19.0
" And this whole discussion as if it's some sort of economic burden, is a mystery to me. ",561.858,566.858,5.0
I think it's a bird's nest on the ground. ,566.858,568.858,2.0
" When Al Gore won his well-deserved Oscar  for the ""Inconvenient Truth"" movie, I was thrilled, but I had urged him to make a second movie quickly. ",568.858,580.858,12.0
" For those of you who saw ""An Inconvenient Truth,""  the most important slide in the Gore lecture is the last one,  which shows here's where greenhouse gases are going if we don't do anything, here's where they could go. ",580.858,594.858,14.0
 And then there are six different categories of things we can do to change the trajectory. ,594.858,598.858,4.0
We need a movie on those six categories. ,598.858,601.858,3.0
 And all of you need to have it embedded in your brains and to organize yourselves around it. ,601.858,607.858,6.0
So we're trying to do that. ,607.858,609.858,2.0
So organizing these markets is one thing we try to do. ,609.858,612.858,3.0
"Now we have taken on a second thing, and this gets to my wish. ",612.858,616.858,4.0
" It has been my experience in working in developing countries  that while the headlines may all be -- the pessimistic headlines may say,  well, we can't do this, that or the other thing because of corruption --  I think incapacity is a far bigger problem in poor countries than corruption, and feeds corruption. ",616.858,638.858,22.0
" We now have the money, given these low prices, to distribute AIDS drugs all over the world to people we cannot presently reach. ",639.858,647.858,8.0
" Today these low prices are available in the 25 countries where we work,  and in a total of 62 countries, and about 550,000 people are getting the benefits of them. ",649.858,659.858,10.0
But the money is there to reach others. ,659.858,662.858,3.0
The systems are not there to reach the people. ,662.858,665.858,3.0
" So what we have been trying to do,  working first in Rwanda and then in Malawi and other places --  but I want to talk about Rwanda tonight --  is to develop a model for rural health care in a very poor area  that can be used to deal with AIDS, TB, malaria, other infectious diseases,  maternal and child health, and a whole range of health issues  poor people are grappling with in the developing world,  that can first be scaled for the whole nation of Rwanda,  and then will be a model that could literally be implemented in any other poor country in the world. ",665.858,707.858,42.0
" And the test is: one, will it do the job?  Will it provide high quality care?  And two, will it do it at a price  that will enable the country to sustain a health care system  without foreign donors after five to 10 years?  Because the longer I deal with these problems,  the more convinced I am that we have to --  whether it's economics, health, education, whatever -- we have to build systems. ",707.858,733.858,26.0
 And the absence of systems that function break the connection which got you all in this seat tonight. ,733.858,740.858,7.0
" You think about whatever your life has been,  however many obstacles you have faced in your life,  at critical junctures you always knew  there was a predictable connection between the effort you exerted and the result you achieved. ",740.858,754.858,14.0
" In a world with no systems, with chaos,  everything becomes a guerilla struggle, and this predictability is not there. ",754.858,765.858,11.0
" And it becomes almost impossible to save lives, educate kids, develop economies, whatever. ",765.858,771.858,6.0
" The person, in my view,  who has done the best job of this in the health care area, of building a system in a very poor area, is Dr. Paul Farmer, ",771.858,783.858,12.0
" who, many of you know, has worked for now 20 years with his group,  Partners in Health, primarily in Haiti where he started,  but they've also worked in Russia, in Peru and other places around the world. ",783.858,796.858,13.0
" As poor as Haiti is, in the area where Farmer's clinic is active --  and they serve a catchment area far greater  than the medical professionals they have would indicate they could serve -- since 1988, they have not lost one person to tuberculosis, not one. ",796.858,814.858,18.0
And they've achieved a lot of other amazing health results. ,814.858,819.858,5.0
" So when we decided to work in Rwanda  on trying to dramatically increase the income of the country and fight the AIDS problem,  we wanted to build a healthcare network,  because it had been totally destroyed during the genocide in 1994, and the per capita income was still under a dollar a day. ",819.858,837.858,18.0
"So I rang up, asked Paul Farmer if he would help. ",838.858,842.858,4.0
" Because it seemed to me if we could prove there was a model in Haiti  and a model in Rwanda that we could then take all over the country,  number one, it would be a wonderful thing for a country  that has suffered as much as any on Earth in the last 15 years,  and number two, we would have something that could then be adapted to any other poor country anywhere in the world. ",843.858,863.858,20.0
And so we have set about doing that. ,864.858,868.858,4.0
"Now, we started working together 18 months ago. ",868.858,872.858,4.0
" And we're working in an area called Southern Kayonza,  which is one of the poorest areas in Rwanda, with a group that originally includes about 400,000 people. ",872.858,886.858,14.0
" We're essentially implementing what Paul Farmer did in Haiti:  he develops and trains paid community health workers  who are able to identify health problems,  ensure that people who have AIDS or TB are properly diagnosed  and take their medicine regularly,  who work on bringing about health education, clean water and sanitation,  providing nutritional supplements and moving people up the chain of health care if they have problems of the severity that require it. ",886.858,922.858,36.0
" The procedures that make this work have been perfected,  as I said, by Paul Farmer and his team in their work in rural Haiti over the last 20 years. ",922.858,933.858,11.0
Recently we did an evaluation of the first 18 months of our efforts in Rwanda. ,933.858,939.858,6.0
" And the results were so good that the Rwandan government  has now agreed to adopt the model for the entire country, and has strongly supported and put the full resources of the government behind it. ",939.858,952.858,13.0
I'll tell you a little bit about our team because it's indicative of what we do. ,953.858,957.858,4.0
" We have about 500 people around the world  working in our AIDS program, some of them for nothing -- just for transportation, room and board. ",957.858,966.858,9.0
And then we have others working in these other related programs. ,966.858,970.858,4.0
" Our business plan in Rwanda  was put together under the leadership of Diana Noble,  who is an unusually gifted woman, but not unusual in the type of people who have been willing to do this kind of work. ",970.858,983.858,13.0
She was the youngest partner at Schroder Ventures in London in her 20s. ,983.858,988.858,5.0
 She was CEO of a successful e-venture --  she started and built Reed Elsevier Ventures -- and at 45 she decided she wanted to do something different with her life. ,988.858,997.858,9.0
So she now works full-time on this for very little pay. ,997.858,1001.858,4.0
 She and her team of former business people have created a business plan that will enable us to scale this health system up for the whole country. ,1001.858,1009.858,8.0
 And it would be worthy of the kind of private equity work she used to do when she was making a lot more money for it. ,1009.858,1018.858,9.0
" When we came to this rural area, 45 percent of the children under the age of five had stunted growth due to malnutrition. ",1018.858,1028.858,10.0
23 percent of them died before they reached the age of five. ,1028.858,1034.858,6.0
Mortality at birth was over two-and-a-half percent. ,1036.858,1039.8580000000002,3.0000000000002274
 Over 15 percent of the deaths among adults and children occurred  because of intestinal parasites and diarrhea from dirty water and inadequate sanitation -- all entirely preventable and treatable. ,1039.8580000000002,1051.8580000000002,12.0
" Over 13 percent of the deaths were from respiratory illnesses -- again, all preventable and treatable. ",1051.8580000000002,1058.8580000000002,7.0
