sentence,start,end,duration
" Over the past couple of days,  as I've been preparing for my speech,  I've become more and more nervous about what I'm going to sayand about being on the same stage as all these fascinating people.",25.802,35.699,9.896999999999998
"Being on the same stage as Al Gore, who was the first person I ever voted for.",35.723,40.013,4.289999999999999
" And --  (Laughter)  So I was getting pretty nervous  and, you know, I didn't know that Chris sits on the stage,and that's more nerve-racking. ",40.037,50.985,10.948
But then I started thinking about my family.,51.009,53.065,2.0559999999999974
" I started thinking about my father and my grandfather and my great-grandfather,  and I realized  that I had all of these Teds going through my bloodstream -- (Laughter) that I had to consider this ""my element."" ",53.089,68.834,15.745000000000005
" So, who am I? Chris kind of mentioned I started a company with my husband.",68.858,74.888,6.030000000000001
We have about 125 people internationally. ,74.912,77.331,2.418999999999997
" If you looked in the book, you saw this ... ",77.355,80.44200000000001,3.0870000000000033
 (Laughter) which I really was appalled by. ,80.46600000000001,85.031,4.564999999999998
" (Laughter)  And because I wanted to impress you all with slides, since I saw the great presentations yesterday with graphs, I made a graph that moves, and I talk about the makeup of me. ",85.055,98.834,13.778999999999996
" (Laughter)  So, besides this freakish thing, this is my science slide. ",98.858,105.557,6.698999999999998
"This is math, and this is science, this is genetics.",105.581,108.149,2.567999999999998
"This is my grandmother, and this is where I get this mouth.",108.173,111.04500000000002,2.872000000000014
" (Laughter)  So -- I'm a blogger, which, probably, to a lot of you, means different things.",111.069,119.077,8.007999999999996
" You may have heard about the Kryptonite lock brouhaha, where a blogger talked about how you hack  or break into a Kryptonite lock using a ballpoint pen,and it spread all over. ",119.101,129.207,10.105999999999995
" Kryptonite had to adjust the lock, and they had to address it to avoid too many customer concerns.",129.231,134.834,5.603000000000009
" You may have heard about Rathergate,  which was basically the result of bloggers  realizing that the ""th"" in 111  is not typeset on an old typewriter; it's on Word. ",134.858,148.505,13.646999999999991
" Bloggers exposed this, or they worked hard to expose this. ",148.529,152.834,4.305000000000007
"You know, blogs are scary. This is what you see.",152.858,155.425,2.5670000000000073
" I see this, and I'm sure scared -- I swear on stage -- shitless about blogs,because this is not something that's friendly.",155.449,163.93,8.480999999999995
" But there are blogs that are changing the way we read newsand consume media, and these are great examples.",163.954,170.001,6.046999999999997
" These people are reaching thousands,  if not millions, of readers, and that's incredibly important. ",170.025,175.834,5.8089999999999975
